Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Mother-to-child HIV transmission rate,Total,2000,47.14,Units,Rate per 100 of Population,Estimated value,Free,42.71,52.7,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2001,47.16,Units,Rate per 100 of Population,Estimated value,Free,43.05,52.29,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2002,46.31,Units,Rate per 100 of Population,Estimated value,Free,42.81,51.4,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2003,46.66,Units,Rate per 100 of Population,Estimated value,Free,42.76,51.32,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2004,45.9,Units,Rate per 100 of Population,Estimated value,Free,42.47,50.09,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2005,46.1,Units,Rate per 100 of Population,Estimated value,Free,42.79,50.88,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2006,45.96,Units,Rate per 100 of Population,Estimated value,Free,42.07,50.32,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2007,45.76,Units,Rate per 100 of Population,Estimated value,Free,41.8,50.44,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2008,45.39,Units,Rate per 100 of Population,Estimated value,Free,41.27,50.22,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2009,45.03,Units,Rate per 100 of Population,Estimated value,Free,41.24,49.56,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
