Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Life expectancy,Total,1970,37.409,Units,Years,,,,,,,,UNPD2019,,,,,,
Afghanistan,Life expectancy,Total,2000,55.841,Units,Years,,,,,,,,UNPD2019,,,,,,
Afghanistan,Life expectancy,Total,2018,64.486,Units,Years,,,,,,,,UNPD2019,,,,,,
Albania,Life expectancy,Total,1970,66.935,Units,Years,,,,,,,,UNPD2019,,,,,,
Albania,Life expectancy,Total,2000,73.955,Units,Years,,,,,,,,UNPD2019,,,,,,
Albania,Life expectancy,Total,2018,78.458,Units,Years,,,,,,,,UNPD2019,,,,,,
Algeria,Life expectancy,Total,1970,50.372,Units,Years,,,,,,,,UNPD2019,,,,,,
Algeria,Life expectancy,Total,2000,70.64,Units,Years,,,,,,,,UNPD2019,,,,,,
Algeria,Life expectancy,Total,2018,76.693,Units,Years,,,,,,,,UNPD2019,,,,,,
Andorra,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Andorra,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Andorra,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Angola,Life expectancy,Total,1970,40.914,Units,Years,,,,,,,,UNPD2019,,,,,,
Angola,Life expectancy,Total,2000,46.522,Units,Years,,,,,,,,UNPD2019,,,,,,
Angola,Life expectancy,Total,2018,60.782,Units,Years,,,,,,,,UNPD2019,,,,,,
Anguilla,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Anguilla,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Anguilla,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Antigua and Barbuda,Life expectancy,Total,1970,65.847,Units,Years,,,,,,,,UNPD2019,,,,,,
Antigua and Barbuda,Life expectancy,Total,2000,73.94,Units,Years,,,,,,,,UNPD2019,,,,,,
Antigua and Barbuda,Life expectancy,Total,2018,76.885,Units,Years,,,,,,,,UNPD2019,,,,,,
Argentina,Life expectancy,Total,1970,66.483,Units,Years,,,,,,,,UNPD2019,,,,,,
Argentina,Life expectancy,Total,2000,73.576,Units,Years,,,,,,,,UNPD2019,,,,,,
Argentina,Life expectancy,Total,2018,76.52,Units,Years,,,,,,,,UNPD2019,,,,,,
Armenia,Life expectancy,Total,1970,70.144,Units,Years,,,,,,,,UNPD2019,,,,,,
Armenia,Life expectancy,Total,2000,71.409,Units,Years,,,,,,,,UNPD2019,,,,,,
Armenia,Life expectancy,Total,2018,74.945,Units,Years,,,,,,,,UNPD2019,,,,,,
Australia,Life expectancy,Total,1970,71.16,Units,Years,,,,,,,,UNPD2019,,,,,,
Australia,Life expectancy,Total,2000,79.592,Units,Years,,,,,,,,UNPD2019,,,,,,
Australia,Life expectancy,Total,2018,83.281,Units,Years,,,,,,,,UNPD2019,,,,,,
Austria,Life expectancy,Total,1970,70.41,Units,Years,,,,,,,,UNPD2019,,,,,,
Austria,Life expectancy,Total,2000,78.239,Units,Years,,,,,,,,UNPD2019,,,,,,
Austria,Life expectancy,Total,2018,81.434,Units,Years,,,,,,,,UNPD2019,,,,,,
Azerbaijan,Life expectancy,Total,1970,63.141,Units,Years,,,,,,,,UNPD2019,,,,,,
Azerbaijan,Life expectancy,Total,2000,66.763,Units,Years,,,,,,,,UNPD2019,,,,,,
