Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2004,2,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2005,9,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2006,18,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2007,4,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,23,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,24,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,29,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,31,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,33,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,35,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
