Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,4.2,,%,Reported,Free,,,,,,Living Conditions Survey 2016-17,,,End of fieldwork,,2016-17,20 to 24 years old
Albania,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,1.4,,%,Reported,Free,,,,,,DHS 2017-18,,,End of fieldwork,,2017-18,20 to 24 years old
Algeria,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,0.4,,%,Reported,Free,,,,,,MICS 2012-13,,,End of fieldwork,,2012-13,20 to 24 years old
Angola,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,7.9,,%,Reported,Free,,,,,,DHS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Armenia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,0,,%,Reported,Free,,,,,,DHS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Azerbaijan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2011,1.9,,%,Reported,Free,,,,,,DHS 2011,,,End of fieldwork,,2011,20 to 24 years old
Bangladesh,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,22.4,,%,Reanalysed,Free,,,,Only ever-married women; applied all-women factor,,DHS 2014,,,End of fieldwork,,2014,20 to 24 years old
Barbados,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0.7,,%,Reported,Free,,,,Recalculated to exclude visiting relationship,,MICS 2012,,,End of fieldwork,,2012,20 to 24 years old
Belarus,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2019,0,,%,Reported,Free,,,,,,MICS 2019,,,End of fieldwork,,2019,20 to 24 years old
Belize,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,6.3,,%,Reported,Free,,,,Prevalence includes visiting partnership,,MICS 2015-16,,,End of fieldwork,,2015,20 to 24 years old
Benin,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,9.4,,%,Reported,Free,,,,,,DHS 2017-18,,,End of fieldwork,,2017-18,20 to 24 years old
Bhutan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,6.2,,%,Reported,Free,,,,,,MICS 2010,,,End of fieldwork,,2010,20 to 24 years old
Bolivia (Plurinational State of),Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,3.4,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
Bosnia and Herzegovina,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0.2,,%,Reported,Free,,,,,,MICS 2011-12,,,End of fieldwork,,2011-12,20 to 24 years old
Brazil,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2006,5.9,,%,Reanalysed,Free,,,,"Different from the final report since the prevalence in the final report includes marriage at ages 15, 18 and 20 (rather than before those ages)",,PNDS 2006,,,End of fieldwork,,2006,20 to 24 years old
Burkina Faso,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,10.2,,%,Reported,Free,,,,,,DHS 2010,,,End of fieldwork,,2010,20 to 24 years old
Burundi,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,2.8,,%,Reported,Free,,,,,,DHS 2016-17,,,End of fieldwork,,2016,20 to 24 years old
Cabo Verde,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2005,2.8,,%,Reported,Free,,,,,,DHS 2005,,,End of fieldwork,,2005,20 to 24 years old
Cambodia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,1.9,,%,Reported,Free,,,,,,DHS 2014,,,End of fieldwork,,2014,20 to 24 years old
Cameroon,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,10.2,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Central African Republic,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,29.1,,%,Reported,Free,,,,,,MICS 2010,,,End of fieldwork,,2010,20 to 24 years old
